musicId,fileName,title,artist,album,genre,genre_grouped,audio_arousal,audio_valence,audio_emotion_quadrant_label,lyrics_emotion_quadrant_label,match_status,emotion_pair,YT id,duration,matched video title,dominant_tempo_variance,tempo_transition_complexity,active_bpm_variance,pitch_high,pitch_low,pitch_range,rms_variance,repeated_area_all,repetition_ratio_all,repeated_area_triu,repetition_ratio_triu,key,scale,strength,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,centroid_mean,centroid_std,total_transition,unique_transition,transition_diversity,transition_per_sec,unique_transition_per_sec
832,Shawn Mendes - Mercy,Mercy,Shawn Mendes,Illuminate (Deluxe),Pop,Pop,0.85,0.625,Q1,Q3,mismatch,PN,YiLhdJ29qtQ,205.0,Shawn Mendes - Mercy (8D AUDIO),0.3595700442066762,0.1408833522083805,468.0658786259649,263.1411467822288,65.40639132514966,197.73475545707916,0.0026823026128113,39290340,0.5039232309292552,19640760,0.5038671720022827,D,major,0.8402591943740845,-174.53488,101.54167,123.9747,31.369783,0.25787023,22.503172,20.87729,21.155243,8.57179,15.372229,15.746519,19.71873,2.075525,12.865467,4.2154512,12.619541,5.885307,9.915021,-6.728712,10.6431265,4.800961,11.295119,0.12215926,8.264583,-0.98042804,10.405186,1621.4084144848614,674.7159581548359,121,17,0.14049586776859505,0.5902439024390244,0.08292682926829269
563,Lady GaGa - Telephone (Feat. Beyonce),Telephone (Feat. Beyonce),Lady GaGa,2011 Grammy Nominees,Pop,Pop,0.7375,0.6875,Q1,Q2,mismatch,PN,Zwnvgz3ey78,221.0,Lady Gaga - Telephone ft. Beyoncé (Audio),2.8900572779204428,0.1074171488690163,152.2523537516316,136.9994584594705,65.40639132514966,71.59306713432085,0.0174419917166233,65826985,0.7286177075052002,32908745,0.7285892636694846,F,minor,0.9211653470993042,-57.656883,110.30523,68.592606,24.245987,1.078344,20.082321,14.705681,15.560278,6.7129827,12.353891,2.6866412,15.580965,5.767016,13.52148,-0.8549845,14.159272,0.3691578,10.222967,7.4611382,11.223201,-2.751146,10.447369,3.0995955,9.505443,-2.104736,9.4587345,2829.429467948741,901.4402174757,101,19,0.18811881188118812,0.45701357466063347,0.08597285067873303
566,Lady GaGa - Alejandro,Alejandro,Lady GaGa,The Fame Monster (Deluxe Edition),Pop,Pop,0.775,0.725,Q1,Q2,mismatch,PN,onOVAsLi1c4,275.0,Lady Gaga - Alejandro (Official Audio),2.391541411762639,0.1507219454530102,628.7589071659626,115.20235351026894,65.40639132514966,49.79596218511928,0.0075604072771966,117580923,0.8383269088369565,58784543,0.8383132991035689,D,major,0.8885926604270935,-105.100586,97.15382,76.20254,24.427904,2.0904546,20.553816,20.25137,14.992479,4.6760254,13.6484785,4.6975656,15.128201,6.0175276,10.095552,4.578653,11.393325,2.106186,8.713338,10.567113,10.476856,0.82162666,8.942644,6.3059897,8.19578,-0.1799338,7.8723054,2614.8464615868343,734.5537445685184,158,16,0.10126582278481013,0.5745454545454546,0.05818181818181818
896,The Weeknd - A Lonely Night,A Lonely Night,The Weeknd,Starboy,R&B,Pop,0.761363636364,0.636363636364,Q1,Q3,mismatch,PN,iBnLoAE9kUE,220.0,The Weeknd - A Lonely Night (Audio),1.5213236828064325,0.0622826430603857,61.66577164226997,133.87038650376502,65.40639132514966,68.46399517861536,0.0119617478922009,70724683,0.7854709294434484,35357603,0.7854484521617913,G,minor,0.8976216316223145,-92.790375,111.16024,92.865,32.400333,17.611513,21.105545,22.790087,14.674426,7.0402884,11.337627,13.030705,10.909833,5.523073,9.651232,5.348523,9.28609,-0.009681311,8.766359,10.666176,9.685474,-0.9761002,7.4399157,-1.4570355,7.85129,-3.028113,8.159799,2099.304426653939,774.9346745900529,75,20,0.26666666666666666,0.3409090909090909,0.09090909090909091
753,Panic! At The Disco - Death Of A Bachelor,Death Of A Bachelor,Panic! At The Disco,Death Of A Bachelor,Pop Rock,Pop,0.7625,0.625,Q1,Q3,mismatch,PN,AXvqHEhY3nQ,210.0,Death Of A Bachelor - Panic! At The Disco (Audio),3.8182904034719103,0.159610920747209,828.7067931321504,77.78174593052022,65.40639132514966,12.37535460537056,0.0163959432393312,30803015,0.3763431769166751,15397022,0.3762751627393252,C,major,0.8921930193901062,-67.57361,118.7129,87.932335,38.919056,2.2839813,26.247572,20.201681,15.336304,10.121249,14.893546,11.513537,11.377941,6.359081,11.384831,7.727413,9.850594,3.2210965,10.100929,4.7270474,9.925545,4.4432817,10.275632,5.945291,10.027822,3.2131412,8.8066025,2166.2003020303473,1006.5549221120604,103,25,0.24271844660194175,0.49047619047619045,0.11904761904761904
839,Sia - California Dreamin',California Dreamin',Sia,San Andreas (Original Motion Picture Soundtrack),Pop,Pop,0.75,0.625,Q1,Q3,mismatch,PN,MMqMVrAZFog,216.0,California Dreamin',4.94002222201352,0.2209689547749489,914.8613771960436,197.13312122062953,65.40639132514966,131.72672989547988,0.0071862218901515,36373931,0.4197436918342918,18182315,0.4196814446356698,E,minor,0.8446194529533386,-77.5346,125.59787,105.827614,35.416454,-2.8078158,19.639626,19.403648,14.987572,-0.3820886,12.9804945,3.5120115,12.191359,8.271671,11.46475,-4.89717,13.983738,1.2565855,9.103955,0.3756474,9.6682415,-3.4343584,8.797838,2.485185,9.214736,-6.9359264,10.9033,2111.441962563241,748.2383729040529,116,21,0.1810344827586207,0.5370370370370371,0.09722222222222222
43,Ariana Grande - One Last Time,One Last Time,Ariana Grande,My Everything (Deluxe),Pop,Pop,0.8625,0.7875,Q1,Q3,mismatch,PN,MKnnsw1DjzI,195.0,Ariana Grande - One Last Time (8D AUDIO),6.489819252268662,0.1494225503036075,994.4250399694791,105.0325764301458,65.40639132514966,39.62618510499615,0.0032932695467025,54113251,0.767093784133782,27052429,0.7670661356644909,Ab,major,0.8539463877677917,-176.23451,92.99801,115.69146,30.66486,14.835367,24.317343,19.603964,19.888252,9.8756895,17.217825,10.989718,18.590776,15.534594,15.047202,-0.13006862,14.785918,10.117021,11.613555,4.429607,10.963401,-1.2185704,12.587879,-0.86479574,9.777947,3.3007247,10.805368,1695.8000410071704,731.5820020501237,105,15,0.14285714285714285,0.5384615384615384,0.07692307692307693
141,Chris Brown - chris brown - grass ain't greener,chris brown - grass ain't greener,Chris Brown,Grass Ain't Greene,R&B,Pop,0.5375,0.65,Q4,Q2,mismatch,PN,pmrTPAejtAw,203.0,Chris Brown - Grass Ain't Greener (Audio),4.653448319925309,0.183461054557932,780.7874567165702,427.4740541075866,65.40639132514966,362.06766278243697,0.0132808350026607,26836389,0.3510776006959388,13413830,0.3510035534392151,Bb,minor,0.8149951100349426,-99.22682,105.31874,94.26551,50.841057,20.2283,30.696686,5.3140383,20.920933,-1.2506154,17.416204,-0.39991364,18.234041,-14.0642395,15.320514,-0.2530844,14.551718,-7.2311196,13.152582,2.917318,13.106161,-5.1224527,11.77375,-5.2901044,10.121815,-4.634509,9.177685,2385.606119173384,1292.5856962139103,85,12,0.1411764705882353,0.4187192118226601,0.059113300492610835
75,Blink-182 - Rabbit Hole,Rabbit Hole,Blink-182,Rabbit Hole,Pop Punk,Pop,0.9625,0.7375,Q1,Q2,mismatch,PN,HI-XanOvIGo,156.0,Rabbit Hole - Blink-182 (Audio Official),2.171470650185433,0.1323901712583767,684.8559431241888,147.682975305829,65.40639132514966,82.27658398067933,0.0048647671937942,35012535,0.7764822312988835,17502911,0.776448984362922,G,major,0.9412489533424376,-11.337191,123.86616,74.71478,21.651735,-7.579489,19.819748,21.656988,11.457219,2.7912948,12.792863,13.410394,8.26895,-1.0079284,8.85989,9.4105625,6.9005384,4.0946593,5.8406787,3.8724403,6.257626,1.3466638,6.34557,6.570117,6.852453,-0.3055271,6.417514,2603.2543935622484,760.5066258457775,75,16,0.21333333333333335,0.4807692307692308,0.10256410256410256
38,Anne-Marie - Ciao Adios,Ciao Adios,Anne-Marie,Ciao Adios,Pop,Pop,0.8875,0.8375,Q1,Q2,mismatch,PN,PP8icQneZgY,202.0,Anne-Marie - Ciao Adios (Lyrics / Lyric Video),6.801491788969189,0.1050574712643678,175.36485511956664,659.2551138257398,65.40639132514966,593.8487225005902,0.0127149736508727,49851280,0.6586243889549478,24921293,0.6585852251480881,G,major,0.89579176902771,-42.67775,104.94641,87.49622,32.023655,-4.2982965,21.692617,9.51479,17.437157,6.9062724,12.859053,-0.07366893,15.573683,-2.7175705,12.812617,-4.554472,14.878741,-6.4820147,11.157989,1.5900908,13.680042,-8.755093,11.282858,2.8167427,9.114609,-3.5348158,10.207765,2463.21512123188,922.2290886119793,136,17,0.125,0.6732673267326733,0.08415841584158416
