musicId,fileName,title,artist,album,genre,genre_grouped,audio_arousal,audio_valence,audio_emotion_quadrant_label,lyrics_emotion_quadrant_label,match_status,emotion_pair,YT id,duration,matched video title,dominant_tempo_variance,tempo_transition_complexity,active_bpm_variance,pitch_high,pitch_low,pitch_range,rms_variance,repeat_area_size,repetition_ratio,repeat_area_size_without_offset,repetition_ratio_without_offset,key,scale,strength,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,centroid_mean,centroid_std
6,21 Savage - Red Opps,Red Opps,21 Savage,Red Opps,Hip-Hop,Hip-Hop,0.5125,0.35,Q3,Q2,match,NN,uMUW5t2MJiI,164.0,21 Savage - Red Opps (Official Audio),1.557034955819463,0.1442567087888683,411.63660856237186,168.66611791365605,65.40639132514966,103.2597265885064,0.0184064153581857,21221185,0.4278132731191888,21221185,0.4278132731191888,E,minor,0.7921143770217896,-68.77455,75.5003,76.65869,42.817276,0.3117048,31.222319,23.217747,27.636227,12.219843,20.064571,-5.697848,21.097849,1.2859308,15.277291,15.953908,17.257755,-9.440699,14.846778,10.533357,12.852773,2.0040038,12.051487,3.2999337,10.6329565,3.2328322,9.367224,2665.7296517250475,1093.9676781730575
9,A Boogie Wit Da Hoodie - Timeless,Timeless,A Boogie Wit Da Hoodie,TBA,Hip-Hop,Hip-Hop,0.45,0.2875,Q3,Q1,mismatch,NP,62I4N2Kjf4U,183.0,Timeless - A Boogie Wit Da Hoodie [Official Audio],5.02603816936444,0.1784580210847199,833.1577988294391,122.05264192746294,65.40639132514966,56.64625060231329,0.0174644105136394,40980850,0.6683469584891432,41549559,0.6703257700047701,F,minor,0.8584440350532532,-112.97412,90.462074,109.7216,47.585606,19.163363,34.35025,14.983098,24.348375,-6.445553,18.20296,7.6184626,15.519949,8.430028,12.230735,10.679407,12.038632,-3.372177,10.777359,3.2071538,13.030756,-0.12874807,10.01903,10.942307,9.434628,7.0988946,9.990342,1913.7287544272288,1013.210948066361
17,Adele - Hello,Hello,Adele,Hello,Pop,Pop,0.825,0.675,Q1,Q3,mismatch,PN,4qNRgzHTQsk,292.0,Adele - Hello (Audio),1.4187143079900515,0.1781540663009778,1022.2296092463812,415.304697579945,65.40639132514966,349.89830625479544,0.0192464999854564,49407888,0.3143718715130336,50186019,0.3171688389905253,Ab,major,0.921862542629242,-116.28374,135.58286,115.68203,30.249022,11.127066,25.26651,14.440497,17.197256,9.5097065,11.854579,8.300445,12.858337,1.4567735,9.928441,9.721288,10.685344,1.1614531,9.473752,8.31009,10.178933,-3.5977652,8.906549,-1.6840117,9.201923,-3.2589881,9.665615,1734.3558658266536,807.404885678125
19,Adele - Water Under The Bridge,Water Under The Bridge,Adele,25,Pop,Pop,0.7625,0.75,Q1,Q3,mismatch,PN,hJgRIKMssQY,238.0,Adele - Water Under The Bridge (Audio),4.831712325511418,0.157530238002341,962.283893484655,117.21605517913326,65.40639132514966,51.80966385398361,0.0043006329797208,92810878,0.8904098081727546,93669316,0.8912102112218827,Eb,major,0.8431861996650696,-49.814884,85.417816,105.53239,35.82995,6.0942245,17.927639,23.781807,14.668556,14.416689,12.25477,6.2579255,13.201438,4.6317606,9.878951,9.409986,9.730921,2.6013384,10.4079,8.630644,9.580266,0.8877576,8.133497,5.430757,7.3409505,-3.104878,7.8154655,2029.1314250191062,747.2922676654287
20,Al Jarreau - We're In This Love Together,We're In This Love Together,Al Jarreau,Breakin' Away,R&B,Pop,0.55,0.6375,Q4,Q1,match,PP,qFnSA-V4iZc,226.0,We're in This Love Together,4.972760872135942,0.1450287592440427,278.3331961208104,175.62564499846297,65.40639132514966,110.21925367331332,0.0078088324517011,42937264,0.456954690129965,43532376,0.4592521955128962,F,major,0.9176573753356934,-123.37043,109.41413,102.48662,33.942886,3.4243,27.253597,25.763777,18.078886,-1.4335245,13.06113,1.5206734,10.211421,-2.7445114,11.912797,1.0745492,8.909595,-3.619109,9.403972,5.3141594,8.505757,-0.29639325,9.331346,1.055715,8.237994,-1.4688314,8.593241,2059.46230373091,759.8654668220303
21,Alan Walker - Faded,Faded,Alan Walker,Faded,EDM,EDM,0.8625,0.775,Q1,Q3,mismatch,PN,qdpXxGPqW-Y,213.0,Alan Walker - Faded (Lyrics),2.8314066932630273,0.1596987228468507,1111.1029692714192,187.14677540918825,65.40639132514966,121.74038408403857,0.0118737444281578,27649678,0.3325395267819629,28331753,0.337588528543608,F#,major,0.9522938132286072,-60.80287,114.26894,92.7066,47.798576,3.4892418,18.277878,14.122881,12.943997,4.0068107,9.077483,6.2300196,11.74754,7.4098506,9.7337475,4.7358804,10.050085,3.272048,8.193481,3.9798067,8.10086,-2.3274655,8.15142,2.1763742,9.07842,0.7108873,8.838419,2409.8054782480317,968.2524021793396
25,Alessia Cara - Scars To Your Beautiful,Scars To Your Beautiful,Alessia Cara,Know-It-All (Deluxe),Pop,Pop,0.761363636364,0.784090909091,Q1,Q1,match,PP,Em7vc8NWUNY,230.0,Alessia Cara - Scars To Your Beautiful (Official Audio),3.286687022564093,0.1787839064233135,736.3219288004118,802.3157899312308,65.40639132514966,736.9093986060811,0.0088882558047771,63914034,0.6554898967496788,64675777,0.6576291091424357,F,major,0.8372101187705994,-53.863567,109.56318,94.86875,34.19493,7.3658237,26.447578,23.132305,16.161474,6.7725377,12.123243,4.6878295,15.132982,8.537798,12.34162,2.5417857,10.804832,9.848001,10.545225,2.221441,12.756771,6.8367133,11.356714,1.8225108,8.9161,-1.4491918,8.300531,2266.716639979109,929.9520409148813
28,Alex Da Kid - Not Easy,Not Easy,Alex Da Kid,Not Easy,Pop,Pop,0.4875,0.575,Q3,Q3,match,NN,dAb3_z5RjJg,247.0,"Alex Da Kid - Not Easy ft. X Ambassadors, Wiz Khalifa (Official Audio)",5.566200903327481,0.160293150427511,1001.6934485856436,119.264955733156,65.40639132514966,53.85856440800636,0.0114657897502183,64110898,0.5705308861926518,64907609,0.5730169741719439,Ab,major,0.9550885558128356,-95.8095,95.529915,119.63551,33.143143,9.932616,20.20282,35.70381,16.37552,13.261425,12.102535,12.770913,11.692985,-1.4317279,10.706059,5.482091,10.350156,-1.8132229,10.792745,5.405496,10.13547,-2.353671,8.943402,5.508841,8.3585205,1.5057089,7.162801,1506.5694223602607,689.3883164789969
32,Andra Day - Rise Up,Rise Up,Andra Day,Rise Up,R&B,Pop,0.575,0.3875,Q3,Q1,mismatch,NP,kNKu1uNBVkU,255.0,Andra Day - Rise Up [Audio],0.0410951647538229,0.2261178399052909,1107.748631277837,921.6188280821516,65.40639132514966,856.2124367570019,0.0097858095541596,19775638,0.1652779670090246,20383163,0.1690393423296795,C#,major,0.8385304808616638,-134.43732,109.868866,106.08031,43.796272,-4.6399074,32.686707,9.983113,18.116426,4.0806675,13.880322,-7.861259,16.319191,8.378853,13.245159,-6.3033032,13.236444,1.4430695,10.90292,-1.3546103,12.51191,-6.873725,12.208142,4.3963895,12.859867,-12.64511,12.95494,2101.6827632485993,945.4194568894477
33,Andy Grammer - Fresh Eyes,Fresh Eyes,Andy Grammer,Fresh Eyes,Pop,Pop,0.6375,0.75,Q4,Q1,match,PP,xipU1hxO_nk,198.0,"Andy Grammer ""Fresh Eyes""",2.463188047916983,0.0470050404407455,17.790767537441727,263.1411467822288,65.40639132514966,197.73475545707916,0.0158094856888055,32754514,0.4545788812022522,33205387,0.4562560773034023,G,major,0.9569892287254332,-104.995804,92.99589,91.18283,36.917553,36.451176,24.04674,21.04846,20.245121,2.6226385,16.224602,11.583975,14.672368,-7.464576,15.449449,4.7622213,11.996236,-3.1420276,10.5864105,-3.7485886,10.798402,-5.999826,11.392878,-0.60133195,9.360552,-8.730071,9.780464,2143.1574705528074,1012.9969232092952
